gender,type,leading,following,key,ID,text (NL),text (EN)
female,dual,Fear,Emotional numbing,fear_emotional-numbing,01F-FR-EM,"Soms is er heel even een zeer onbehagelijk gevoel in je lichaam. Je wil dat dit heel snel ophoudt, het lijken gevoelens van paniek te zijn. “Gelukkig” kan je dat gevoel snel weer bagatelliseren en te bedenken dat het allemaal wel meevalt en dat het wel weer goed komt. Alleen, als je eerlijk bent, blijft dat nare gevoel wel sluimeren. Het bagataliseren ‘werkt’ totdat het niet meer werkt. ",
female,dual,Self-rejection,Fear,self-rejection_fear,01F-SR-FR,"Je hebt regelmatig nare gedachten over jezelf, in de basis gaan ze over iets wat je je in jouw ogen niet goed hebt gedaan. Die gedachten activeren al snel een golf van onrust en spanning in je lichaam. Deze gevoelens jagen de nare gedachtes weer aan. Zo activeert het ene het andere: hoe harder je jezelf veroordeelt, hoe onrustiger je lichaam wordt. Het is een combinatie die je heel zwaar laar voelen.",
female,dual,Self-rejection,False hope,self-rejection_false-hope,01F-SR-FH,"Regelmatig als er iets misgaat, is steevast de eerste gedachte dat het aan jou ligt - dat je tekort bent geschoten of iets niet goed hebt gedaan. Vlak daarna ga je harder je best doen, nog meer zorgen, nog harder werken. Voor je gevoel kan je op die manier 'je fout' goed maken. Twijfels over jezelf hebben als gevolg dat je je nog meer gaat inzetten voor de ander. Soms geeft dit je dan even een goed gevoel maar eigenlijk blijft het gevoel dat je nooit helemaal voldoet, hoe goed je je best ook doet bestaan.",
female,dual,Self-rejection,False power,self-rejection_false-power,01F-SR-FP,"Regelmatig herken je dat je je in eerste instantie down voelt waarna er vervolgens een golf van irritatie je overneemt. Als je het idee hebt dat je iets niet goed hebt gedaan, kan dit je behoorlijk in de weg zitten. Je kan je dan klein en rot voelen over jezelf. Dit zijn geen fijne gedachten en gevoelens. Het lijkt er op dat je een ‘hulplijntje’ hebt ontwikkeld die dit nare gevoel omdraait. Ipv dat het nare gevoel:jezelf schuldig, onbenullig of iets dergelijks te vinden, richt je aandacht zich naar buiten toe. Het voelt 'beter' om de ander van iets te beschuldigen.",
female,dual,Self-rejection,Emotional numbing,self-rejection_emotional-numbing,01F-SR-EM,"Met enige regelmaat voel je je niet echt happy en kan je sombere gedachtes hebben over jezelf zoals jezelf niet goed genoeg voelen. Je hebt er niet echt een reden voor en probeert jezelf af te leiden door dingen te gaan doen. Bijvoorbeeld door te shoppen, te scrollen op je telefoon ect. Je zoekt afleiding. In de basis vind je dan dat je je eigenlijk niet zo moet aanstellen en denkt dan snel ‘het gaat wel voorbij, het komt wel goed’. Doordat je jezelf afleidt gaat het nare gevoel tijdelijk wel weg, maar het komt terlkens terug.",
female,dual,False hope,Fear,false-hope_fear,01F-FH-FR,"Je houdt liever alle ballen in de lucht dan dat je er eentje laat vallen. Dit kan betekenen dat je regelmatig over je eigen grens heen gaat om de controle te houden. Zonder dat je dit in eerste instantie door hebt. Stel dat je je in je hoofd rust gunt omdat je moe bent, terwijl je de punten op je lijstje nog niet zijn afgevinkt. Dikke kans dat je je dan onrustig wordt. Onder die drive zit vaak een spanning die je liever niet toelaat: wellicht de angst dat het niet goed genoeg is, in de ogen van iemand anders.",
female,dual,False hope,Self-rejection,false-hope_self-rejection,01F-FH-SR,"Je probeert zo goed als het gaat alle ballen in de lucht te houden- het huishouden, de kinderen, je werk, de mensen om je heen -. Ook al wordt het je teveel, dan ga je nog ’liever’ je eigen grens over dan dat je het gevoel van ‘falen en te kort schieten’ toelaat. Je eerste gedachte is zelden dat er te veel op je bordje lag: je ‘gedachten gaan eerder naar ‘ik heb het niet goed gedaan.",
female,dual,False hope,False power,false-hope_false-power,01F-FH-FP,"Je bent een enorme bezige bij, hier voel je je in eerste instantie goed bij. Je hebt oog en zorg voor iedereen om je heen. Je zou het best ""please gedrag"" kunnen noemen. Wat daarnaast bij je speelt, maar wellicht wat minder zichtbaar is dat je ook verwachting hebt naar andere mensen. Als er niet aan die verwachtingen wordt voldaan, kan je best een scherpe reactie geven. Herken je je in het patroon dat je eerst veel aan het geven bent? Maar als er niet iets voor terugkomt, dat je dan ook geïrriteerd kan raken.",
female,dual,False hope,Emotional numbing,false-hope_emotional-numbing,01F-FH-EM,"Je merkt op dat je vaak geneigd bent om maar door te gaan met allerlei bezigheden. Er is altijd nog wel iets te regelen of op te lossen.  Je stopt pas als je eigenlijk te moe bent en over je grens bent gegaan. Op dat moment kan een ontevredenheid, maar misschien ook wel een gevoel van onverschilligheid naar boven komen. De gedachte dat het allemaal niet meer zoveel uitmaakt. Dit lijkt een regelmatig terugkerend patroon te zijn.",
female,dual,False power,Fear,false-power_fear,01F-FP-FR,"Je merkt regelmatig op dat je je opwind over de manier waarop mensen om je heen iets doen. Je ervaart wat iemand zegt vrij snel als een ‘aanval’ waar je je tegen moet verdedigen. Dit is als een onbedwingbare impuls, je uit een net wat te heftige reactie. Het resultaat is dat je na z’n gebeurtenis alleen overblijft en bang bent dat je dierbaren op een gegeven moment genoeg van je gaan krijgen. Met dat nare gevoel blijf je dan over. Helaas gebeurd dit met enige regelmaat.",
female,dual,False power,Self-rejection,false-power_self-rejection,01F-FP-SR,"Je merkt regelmatig op dat je je irriteert aan de mensen om je heen. Ergens weet je wel dat ze het vaak goed bedoelen, maar je kan het vaak niet laten om er toch iets over te zeggen. De manier waarop je je mening over de ander kenbaar maakt, is vaak feller dan nodig en je bereikt ook nog eens het tegenovergestelde als wat je eigenlijk wil. Daar baal je dan stevig van en irriteer je je aan je eigen gedrag…’waarom doe ik dit toch aldoor’. Uiteindelijk blijft dit nare gevoel over jezelf best lang hangen.",
female,dual,False power,False hope,false-power_false-hope,01F-FP-FH,"Je merkt op dat je stemming zich regelmatig afwisselend met gevoelens van ‘irritatie’ en ‘pleasen’. Een nare opmerking: heb je sneller geuit, dan dat je zou willen, ook al vind je vaak wel dat je gelijk hebt. Al snel na deze gebeurtenis probeer je je gedrag weer goed te maken. Je bied je excuses aan. Je hebt steeds vaker het gevoel dat degene waar je je excuses aan aanbiedt je niet echt meer serieus neemt. Dit irriteert je vervolgens weer. Het is een patroon dat zich maar blijft herhalen.",
female,dual,False power,Emotional numbing,false-power_emotional-numbing,01F-FP-EM,"Je merkt regelmatig op dat je je vrij snel kan irriteren aan andere mensen. Je vind het maar lastig om te zien dat andere mensen je vaak niet begrijpen of dat ze zich op een irritante manier gedragen. Je hebt de overtuiging dat er toch niets aan te veranderen is en je schikt je maar naar de situatie. Meestal slik je je gevoel in en leidt je jezelf af met iets anders, tv kijken, scrollen, sporten, shoppen of iets dergelijks.",
female,dual,Emotional numbing,Fear,emotional-numbing_fear,01F-EM-FR,"Over het algemeen voel je je best oke en ben je tevreden. Je leven gaat zijn gangetje, geen hoge toppen en geen diepe dalen. Als je eerlijk naar jezelf bent zijn er wel een paar dingen die je echt heel naar vindt, die je als het even kan probeert te vermijden. De belangrijkste is dat je het lastig vind om over je gevoelens te praten. Als je in een dergelijke situatie komt, bijvoorbeeld met je partner, roept dit veel spanning bij je op.",
female,dual,Emotional numbing,Self-rejection,emotional-numbing_self-rejection,01F-EM-SR,"Over het algemeen voel je je best oke en ben je tevreden. Je leven gaat zijn gangetje, geen hoge toppen en geen diepe dalen. Dat is rustig en prettig, maar als je eerlijk naar jezelf bent komen er zo af en toe wel wat nare gedachten over jezelf voorbij. Die kunnen soms best een poosje blijven hangen waardoor je je down voelt. Je snapt eigenlijk niet echt waarom je je dan zo voelt. Je zou hier heel graag vanaf willen.",
female,dual,Emotional numbing,False hope,emotional-numbing_false-hope,01F-EM-FH,"Over het algemeen voel je je best oké en ben je tevreden. Je leven gaat zijn gangetje, geen hoge toppen en geen diepe dalen. Als je eerlijk naar jezelf bent voel je je wel steeds vaker vermoeid. Je vindt het vrij lastig om je eigen grens te bepalen en bent meestal met name bezig voor de mensen om je heen. Aan het einde van de dag, als je eigenlijk (te) moe bent vul je je tijd het liefst met een serie of scrollen op je mobiel. Eindelijk even in je eigen bubbel. Eigenlijk is dit niet echt wat je wil, maar ja..",
female,dual,Emotional numbing,False power,emotional-numbing_false-power,01F-EM-FP,"Over het algemeen voel je je best oké. Je leven gaat zijn gangetje, geen hoge toppen en geen diepe dalen. Maar als je eerlijk naar jezelf bent kan je je zo nu en dan flink irriteren naar de mensen om je heen. Zeker degene die het dichtst bij je staan. Je vind het maar lastig om te ervaren als mensen je niet begrijpen of dat ze dingen zeggen of doen die in jou ogen nergens op slaan. Je probeert je dan vaak nog rustig te houden en te denken ‘laat maar’, maar je kan het dan toch niet laten om je op een ‘te heftige’ manier te uiten waardoor er dan gedoe ontstaat.",
male,flat,,,flat-low,01M-LOW,"Op basis van je antwoorden springt er geen prominente reactie uit. De reacties die deze test meet liggen bij jou dicht bij elkaar, en geen ervan speelt een hoofdrol.

Dat kan verschillende dingen betekenen. Misschien herken je jezelf niet in de situaties die we je hebben voorgelegd. Misschien heb je al veel inzicht in je gedrag en klopt deze uitkomst precies. Het kan ook zijn dat deze twintig vragen niet aansluiten bij wat er nu bij jou speelt.

Het persoonlijke rapport dat wordt opgebouwd rond één duidelijke reactie, en die komt uit jouw antwoorden niet naar voren. Herken je je hier niet in, of wil je er toch over doorpraten? Laat het ons weten. ",
male,flat,,,flat-high,01M-HIGH,"Op basis van je antwoorden lijkt er momenteel veel tegelijk te spelen in je leven. Waar bij de meeste mensen één reactie dominant is, scoor je op alle vijf hoog - ze zijn bij jou allemaal actief.

Wellicht is het niet fijn om te lezen maar wel herkenbaar. Het kan betekenten dat er momenteel (te) veel van je gevraagd wordt, en dat je weinig ruimte ervaart om je in jezelf te verdiepen.

Juist daarom sturen we je geen persoonlijk rapport. Zo'n rapport gaat over één reactie, en dat doet geen recht aan wat er bij jou lijkt te spelen. Wat hier wel past is een gesprek. Neem gerust contact met ons op.",
male,single,Fear,,fear,01M-FR,"Heel regelmatig ben je nerveus of gespannen, zonder dat je precies kan benoemen waarover. Je ziet 'gewoon' tegen veel situaties op en ervaart veel druk. Je probeert dit zo min mogelijk te laten zien en jezelf groot te houden. Dit gaat je steeds lastiger af, want de spanning en druk in je lichaam neemt steeds meer toe. Zo zit je in een visieuze cirkel van spanningsgevoelens en gedachten die telkens toenemen.",
male,single,Self-rejection,,self-rejection,01M-SR,Regelmatig heb je het gevoel dat je niet voldoet aan verwachtingen van jezelf of aan die van de mensen om je heen. Je vraagt je af of je wel goed genoeg bent voor de mensen die van je afhankelijk zijn of van je houden. Na een tegenslag of een fout blijf je daar een tijd mee zitten door jezelf veel verwijten te maken. Deze gevoelens deel je niet makkelijk met anderen. Je hebt de neiging jezelf te vergelijken met andere mannen en vindt jezelf dan vaak de mindere.,
male,single,False hope,,false-hope,01M-FH,"Je zet je enorm in om te zorgen dat het thuis en op je werk goed loopt. Stilstaan voelt ongemakkelijk zolang er nog iets te doen is. Het is niet zozeer dat je dit voor de mensen om je heen doet, het voelt meer als iets wat bij je rol of je status hoort. 'Als ik dit maar eerst goed regel, dan komt de rest vanzelf' is een gedachte die je vaak hebt. Tot nu toe is het ook zo, maar af en toe mag het wel een tandje minder, maar dat wat rustiger aan doen, vindt je heel lastig.",
male,single,False power,,false-power,01M-FP,"Als je eerlijk bent naar jezelf, loopt je irritatie best snel op. Die uit zich vaak direct en zichtbaar - een hardere toon, duidelijk aanwezig zijn in een discussie, soms een confrontatie die je niet uit de weg gaat. Je merkt dat je snel een oordeel hebt over hoe anderen iets aanpakken, en dat je vindt dat je het zelf beter zou doen. Regelmatig voel je je onbegrepen door de mensen om je heen, alsof je er alleen voor staat, wat je vervolgens nog meer kan irriteren.",
male,single,Emotional numbing,,emotional-numbing,01M-EM,"Eigenlijk ervaar je niet veel last van dingen - 'het gaat wel goed' is een antwoord dat je vaak geeft, ook als er meer speelt. Je vult je tijd liever met iets waar je mee bezig kan zijn: werken, sporten, klussen, af en toe een drankje of een avond gamen. Zitten en stilstaan bij emotionele zaken, doe je liever niet. Diep vanbinnen merk je soms dat andere mensen intenser leven te voelen dan jij, en vraag je je af hoe dat voor hen is.",
male,dual,Fear,Self-rejection,fear_self-rejection,01M-FR-SR,"Regelmatig komt er spanning in je op als er iets van je gevraagd wordt waar je onzeker over bent. Je merkt dat je situaties dan liever uit de weg gaat, ook al zou je het waarschijnlijk best aankunnen. Vlak daarna volgt een gedachte dat je weer tekortschiet. Dat gevoel van tekortschieten zorgt dan weer voor extra spanning, waardoor je in een lus terechtkomt die zichzelf in stand houdt.",
male,dual,Fear,False hope,fear_false-hope,01M-FR-FH,"Je merkt regelmatig dat je gespannen bent voor situaties die je hebt te gaan doen. Meestal gaat het over situaties waarin er een verwachting van je is en je jezelf hebt te laten zien. Het liefst wil je die situaties afzeggen of vermijden. Dit voelt echter als geen optie, 'wat zouden ze anders van je denken'. Dus je zet door en doe je wat er van je gevraagd wordt. Achteraf voel je je dan behoorlijk vermoeid door de opgebouwde spanning.",
male,dual,Fear,False power,fear_false-power,01M-FR-FP,"Je merkt regelmatig een voor jouw bekende spanning op, vooral in situaties waarin je voor jouw gevoel weinig grip op hebt. Die spanning slaat vaak snel om in irritatie. Je reageerd op een hardere toon, of met een kort lontje, vooral naar de mensen die dichtbij je staan. Op het moment zelf voelt dat bijna vanzelfsprekend. Achteraf, als de irritatie is gezakt, merk je dan weer de voor jouw bekende spanning. Zo leef je in een visueieuze cirkel. ",
male,dual,Fear,Emotional numbing,fear_emotional-numbing,01M-FR-EM,"Soms voel je een onbehaaglijk, gespannen gevoel opkomen, iets wat op paniek lijkt. Je merkt dat je dat gelukkig snel kan negeren door jezelf af te leiden met (hard)werken, gamen, sporten, alcohol of iets anders waar je in op kan gaan. Dat werkt meestal om niet bij het gevoel stil te hoeven staan.  Je merkt op, als je eerlijk bent, dat het steeds meer moeite kost om die spanning weg te krijgen.",
male,dual,Self-rejection,Fear,self-rejection_fear,01M-SR-FR,"Je hebt regelmatig nare gedachten over jezelf, in de basis gaan ze over iets wat je je in jouw ogen niet goed hebt gedaan. Die gedachten activeren al snel een golf van onrust en spanning in je lichaam. Deze gevoelens jagen de nare gedachtes weer aan. Zo activeert het ene het andere: hoe harder je jezelf veroordeelt, hoe onrustiger je lichaam wordt. Dit wisseld elkaar af.",
male,dual,Self-rejection,False hope,self-rejection_false-hope,01M-SR-FH,"Regelmatig is je eerste gedachte, als er iets misgaat, dat het aan jou ligt - dat je tekort bent geschoten. Vlak daarna ga je harder werken of meer regelen, alsof je het daarmee kan goedmaken wat je in jouw beleving niet goed hebt gedaan. Dat pleasen geeft soms even een goed gevoel, maar de twijfel over jezelf blijft. Hoe hard je ook je best doet, het gevoel dat je niet genoeg bent, blijft bestaan.",
male,dual,Self-rejection,False power,self-rejection_false-power,01M-SR-FP,"Je herkend bij jezelf dat je gevoelens zich afwisselen tussen je down en schuldig voelen en vervolgens geïrriteerd raken. Als je het idee hebt dat je iets niet goed hebt gedaan, kan dat je flink dwarszitten. Op een gegeven moment lijkt het net of dat nare gevoel zich omdraait: je aandacht verschuift, wat eerst naar jezelf was gericht, keert zich vervolgens naar de mensen om je heen. Je irriteert je aan anderen welke je best direct kan uiten. Zo treft jou geen blaam meer, maar prettig voelt het ook niet.",
male,dual,Self-rejection,Emotional numbing,self-rejection_emotional-numbing,01M-SR-EM,"Met enige regelmaat voel je je niet echt lekker in je vel en kan je sombere gedachtes over jezelf hebben. Een duidelijke reden heb je er vaak niet voor. Je zoekt dan liever afleiding - wat extra werk, sporten, gamen, misschien een drankje - dan dat je erbij stilstaat. Het nare gevoel zakt daardoor wel weg, maar het blijft wel telkens terugkomen.",
male,dual,False hope,Fear,false-hope_fear,01M-FH-FR,"Je houdt liever alle ballen in de lucht dan dat je er eentje laat vallen. Dat kan betekenen dat je regelmatig over je eigen grens heen gaat, zonder dat je dat direct doorhebt. Rust nemen terwijl er nog dingen op je lijstje staan, voelt ongemakkelijk. Onder die drive zit vaak een spanning die je liever niet toelaat: het idee dat je niet goed genoeg presteert, in de ogen van anderen, doet het ongemakkelijke gevoel toenemen.",
male,dual,False hope,Self-rejection,false-hope_self-rejection,01M-FH-SR,"Je probeert zoveel mogelijk zelf te regelen en er zijn voor de mensen om je heen. Als het je eigenlijk niet wil of moe bent, ga je nog liever over je eigen grens dan dat je het gevoel van 'iets niet kunnen' toelaat. Je eerste gedachte is zelden dat er te veel op je bordje lag; die gaat eerder naar 'ik heb het niet goed genoeg gedaan'. Dat gevoel blijft anders namelijk lang hangen.",
male,dual,False hope,False power,false-hope_false-power,01M-FH-FP,"Je bent een enorme doorzetter en voelt je daar in eerste instantie goed bij. Je zorgt dat het inkomen op orde is, de klussen gedaan worden, de zaken lopen. Wat daarbij wellicht minder zichtbaar is voor jezelf: je verwacht ook wel iets terug - erkenning, rust, geen gedoe. Als dat uitblijft, kan je vanuit een scherpe, directe toon reageren op de mensen om je heen. Herken je het volgende patroon? Je geeft of doet eerst iets aan de ander, vervolgens wacht je af, komt er dan niets terug kan je geïrriteerd raken.",
male,dual,False hope,Emotional numbing,false-hope_emotional-numbing,01M-FH-EM,"Je merkt op dat je vaak doorgaat met de dingen die nog op je lijstje staan - er is altijd nog wel iets te doen. Pas als de vermoeidheid goed voelbaar wordt, houd je ermee op. Op dat moment merk je soms dat je over je grens bent gegaan, en slaat de gedachte om naar iets als 'het maakt toch niet meer zoveel uit'. Dat patroon lijkt zich vaker te herhalen dan je zou willen.",
male,dual,False power,Fear,false-power_fear,01M-FP-FR,"Je merkt regelmatig dat je opwindt over de manier waarop iemand iets tegen je zegt. Al snel voelt het als een aanval waar je je tegen wil verdedigen, en reageer je net iets heftiger dan de situatie eigenlijk vraagt - een hardere toon, soms een confrontatie. Achteraf voel je je daar vaak alleen en somber over, met de angst dat de mensen om je heen op een gegeven moment genoeg van je krijgen. Dat nare gevoel blijft dan nog wel even hangen.",
male,dual,False power,Self-rejection,false-power_self-rejection,01M-FP-SR,"Je merkt regelmatig dat je je irriteert aan mensen om je heen. Ergens weet je wel dat ze het meestal goed bedoelen, maar je kan het niet laten om er iets van te zeggen - vaak op een directere, hardere toon dan nodig is. Achteraf bereik je daarmee vaak het tegenovergestelde van wat je wilde, en baal je van jezelf: 'waarom reageer ik toch steeds zo'. Dat nare gevoel over jezelf blijft dan nog een tijd hangen.",
male,dual,False power,False hope,false-power_false-hope,01M-FP-FH,"Je stemming wisselt regelmatig tussen irritatie en juist heel hard je best doen. Een felle opmerking komt er sneller uit dan je zou willen, ook al vind je vaak dat je wel gelijk had. Vlak daarna probeer je het weer goed te maken - extra inzet, iets regelen, een gebaar. Je merkt dat dat niet altijd overkomt zoals je bedoelt, wat de irritatie soms weer aanwakkert.",
male,dual,False power,Emotional numbing,false-power_emotional-numbing,01M-FP-EM,"Je merkt regelmatig dat je je snel irriteert aan andere mensen. Je vindt het lastig als mensen je niet lijken te begrijpen, of dingen zeggen of doen die voor jou nergens op slaan. Ergens heb je de overtuiging dat er toch niets aan te veranderen is, dus schik je je maar naar de situatie. Meestal slik je het gevoel in en zoek je afleiding - werken, sporten, gamen, of iets anders waar je even in op kan gaan.",
male,dual,Emotional numbing,Fear,emotional-numbing_fear,01M-EM-FR,"Over het algemeen voel je je best oké en redelijk tevreden. Je leven gaat z'n gangetje, geen hoge toppen, geen diepe dalen. Als je eerlijk bent zijn er wel een paar dingen die je liever vermijdt, zoals praten over wat er in je omgaat. Op het moment dat dat er toch van komt - bijvoorbeeld met je partner - merk je dat het behoorlijk wat spanning oproept.",
male,dual,Emotional numbing,Self-rejection,emotional-numbing_self-rejection,01M-EM-SR,"Over het algemeen voel je je best oké en tevreden. Je leven gaat z'n gangetje, geen hoge toppen, geen diepe dalen. Zo af en toe komt er wel een nare gedachte over jezelf voorbij - dat je niet goed genoeg bent, bijvoorbeeld als partner of vader. Die gedachte kan een tijd blijven hangen zonder dat je precies weet waarom, en je zou er graag vanaf willen.",
male,dual,Emotional numbing,False hope,emotional-numbing_false-hope,01M-EM-FH,"Over het algemeen voel je je best oké en tevreden. Je leven gaat z'n gangetje, geen hoge toppen, geen diepe dalen. Als je eerlijk bent voel je je wel steeds vaker moe, en ben je vooral bezig met zorgen dat alles thuis en op werk loopt. Aan het eind van de dag vul je je tijd het liefst met sporten, gamen, of gewoon even niets - eindelijk in je eigen bubbel, ook al is dat niet helemaal wat je eigenlijk zou willen.",
male,dual,Emotional numbing,False power,emotional-numbing_false-power,01M-EM-FP,"Over het algemeen voel je je best oké. Je leven gaat z'n gangetje, geen hoge toppen, geen diepe dalen. Maar zo nu en dan kan je je flink irriteren aan de mensen om je heen, vooral degenen die het dichtst bij je staan. Je probeert het dan eerst te laten voor wat het is, maar uiteindelijk uit je het toch vrij direct en fel, waardoor er gedoe ontstaat.",
