name,slug,category,answer,show-on-homepage,show-on-railos-page,order
"How does RailOS help manage ETCS Baseline updates?",railos-etcs-baseline-updates,RailOS,"RailOS separates the safety-critical ETCS application layer from the hardware device layer. When a Baseline is updated we simply update our software, the underlying hardware remains untouched. RailOS was designed for low-cost and software-only adaptation to the ever evolving ETCS standard.",false,true,12
"Can RailOS run third-party applications alongside TSC's own apps?",railos-third-party-apps,RailOS,"Yes. The Application Developer Kit allows qualified third-party developers to build, test, and certify their own RailOS applications.",false,true,13
"What hardware does RailOS run on?",railos-hardware,RailOS,"The core computing platform for our safety applications is the iEVC, a SIL4-certified safe computer designed for rail environments. RailOS also supports a certified ecosystem of peripheral devices required for each application.",false,true,14
"How does RailOS handle interoperability between ETCS and national Class B systems?",railos-etcs-class-b-interop,RailOS,"We have two STM (Specific Transmission Module) Apps. Our iSTM App manages interoperability between our native RailOS ETCS and Class B Apps. Our wSTM App manages interoperability between our native RailOS ETCS and 3rd Party Class B systems. Both STMs are configurable for simple no-code Class B integration.",false,true,15
"What ETCS Baseline does TSC support?",etcs-baseline-support,Products,"Our ETCS application supports Baseline 3 and is available with Baseline 4 including ATO (Automatic Train Operation) as part of an integrated software upgrade. Because RailOS is software-defined, future Baseline updates are delivered as software packages — the onboard hardware remains unchanged.",false,false,16
"Can I run ETCS and national Class B systems on the same hardware?",etcs-class-b-same-hardware,Products,"Yes — this is one of our core strengths. A single RailOS installation can run ETCS alongside multiple national Class B systems. The Lineas HLD77 project is a working example: 109 locomotives operating across Belgium, the Netherlands, and Germany with ETCS and up to three national ATP systems on the same hardware. Adding a new country is a software deployment, not a hardware installation.",false,false,17
"What is the Telecom Box?",what-is-telecom-box,Products,"The Telecom Box is a railway-hardened telecom gateway that supports GSM-R, 4G/5G, FRMCS, and satellite communications through a single ruggedised unit. It eliminates the need for multiple stand-alone telecom and GPS devices onboard, reducing hardware count, installation time, and lifetime maintenance costs.",false,false,18
"Can TSC support a fleet operating across multiple European countries?",multi-country-fleet-support,Products,"Yes — this is one of our core strengths. A single RailOS installation can run ETCS alongside multiple national Class B systems. The Lineas HLD77 project is a working example: 109 locomotives operating across Belgium, the Netherlands, and Germany with ETCS and up to three national ATP systems on the same hardware. Adding a new country is a software deployment, not a hardware installation.",false,false,19
"How does a software-defined system protect against device obsolescence?",device-obsolescence-protection,Products,"RailOS uses standard, off-the-shelf Ethernet-connected devices rather than proprietary hardware. When a device becomes obsolete, it can be replaced with any compatible off-the-shelf alternative without triggering a system replacement or re-certification. The software stays the same — only the device is swapped. This plug-and-play approach protects your investment over the full operational lifetime of the fleet.",false,false,20
"What does a retrofit viability assessment cover?",retrofit-viability-assessment-scope,Services,"Our ETCS Retrofit Viability Assessment analyses the mechanical, electrical, and spatial constraints of your vehicle platform against the requirements of ETCS installation. The assessment covers weight budgets, cab space allocation, power supply integration, and a country-by-country certification roadmap. The Akiem BR189 project is a reference for this service.",false,false,21
"Does TSC handle the full ETCS certification process?",full-etcs-certification,Services,"Yes. Our first-in-class homologation service covers the complete V-Cycle from concept design to Authorization to Put In Service (APIS). We manage the entire process with the relevant national safety authority. The Škoda 27Ev project is a reference — TSC delivered the first locomotive authorised with a software-defined safety platform.",false,false,22
"What maintenance options does TSC offer post-installation?",post-installation-maintenance,Services,"We offer post-warranty maintenance service packs for up to 10 years or longer. Each pack is configured for the unique operational needs of each client, with options spanning corrective, preventative, and predictive maintenance. Our Digital Journey Replay (DJR) app enables rapid remote troubleshooting of both onboard and trackside signalling issues.",false,false,23
"Where is TSC headquartered?",tsc-headquarters,Company,"Our headquarters are at Rue des Deux Gares 82/B, 1070 Brussels, Belgium. We operate across Europe with ETCS installations currently in service in Belgium, the Netherlands, Germany, and Czech Republic, with assessment and certification work spanning 10 additional countries.",false,false,24
"Is TSC part of a larger group?",tsc-skoda-group,Company,"Yes. Since 2023, The Signalling Company has been part of Škoda Group, providing corporate stability and manufacturing scale alongside the agility and innovation of our founding team. The acquisition accelerated TSC's ambition to bring its vision for software-defined digital rail to the world.",false,false,25
"How many vehicles has TSC equipped with ETCS?",tsc-vehicles-equipped,Company,"Our systems are currently in service on 109+ Lineas freight locomotives operating across Belgium, the Netherlands, and Germany. We are also supplying ETCS for 34 new-built Škoda 27Ev hybrid trains for RegioJet in the Czech Republic, and have completed a pan-European retrofit viability assessment for Akiem covering 10 countries.",false,false,26
